Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,RSI-7,RSI-14,RSI,%R,%K,%D,STOCH,MACD-SL,DMI,MACD_n,SIGNAL LINE_n,MACD-SL_n,plusDI_n,minusDI_n,DMI_n,STOCH_n,%K_n,%D_n,RSI_n,%R_n,Trend GT
12/24/2002,13.63749981,13.39000034,13.5,13.48750019,4053200,10.70525169,wait or hold,-0.13940684775230316,-0.07226244324947957,15.360769469406819,30.737770789453833,0.0,38.11476054183422,37.24200784994054,37.24200784994054,-72.42646750648754,27.573532493512463,21.20097717344252,6.372555320069942,-0.0671444045028236,-15.377001320047015,-0.7457381122000114,-0.6950385784400843,-0.340229193655029,-0.20736713212707314,0.8088841563592484,-0.7759214028761305,0.13861561072536,-0.4485293501297508,-0.5838094749014828,-0.37807318933410783,-0.4485293501297508,up
12/26/2002,13.81750011,13.53999996,13.625,13.62250042,6197200,10.81241322,wait or hold,-0.14155303344921322,-0.07510235020027571,15.772340121982081,30.41492193309599,0.0,41.929355652199476,38.9967886711743,38.9967886711743,-68.45587206271513,31.544127937284873,29.019611478662437,2.5245164586224362,-0.0664506832489375,-14.642581811113908,-0.7494493849153407,-0.7011066520590777,-0.33783822718997747,-0.18612962658851373,0.7898848546478576,-0.7467970506664836,0.06394088797633923,-0.36911744125430257,-0.4255384848233009,-0.3282461369663019,-0.36911744125430257,up
12/27/2002,13.63749981,13.52999973,13.63749981,13.54500008,3358400,10.75089264,wait or hold,-0.14369975881010078,-0.07790278945410047,15.717418111940756,30.34140495024385,0.0,40.26699047429573,38.334124979148676,38.334124979148676,-70.73529408217995,29.264705917820052,29.46078878287244,-0.19608286505238937,-0.06579696935600031,-14.623986838303093,-0.7531615908398506,-0.7070903944323848,-0.3355851493334243,-0.18896366367338135,0.785558460700311,-0.7460596430528736,0.01114516331721549,-0.414705881643599,-0.41660782429979704,-0.34706249174136117,-0.414705881643599,up
12/30/2002,13.58749962,13.29749966,13.55000019,13.42500019,3782800,10.65565014,wait or hold,-0.14604195471702575,-0.08067402593385015,15.568063916954857,30.814922637102764,0.0,37.575822707673105,37.27784971990963,37.27784971990963,-72.11155209599838,27.88844790400163,29.565760586368828,-1.677312682367198,-0.0653679287831756,-15.246858720147907,-0.7572118124846232,-0.7130117387813772,-0.33410642626414544,-0.19667050701455002,0.8134244581202947,-0.7707604303381774,-0.017599459572055,-0.4422310419199674,-0.4144829018873786,-0.377055458395691,-0.44223104191996754,up
12/31/2002,13.625,13.32750034,13.42500019,13.57750034,2367600,10.77668762,wait or hold,-0.14730519429868494,-0.08337412180452776,15.538857392906666,30.51116519468368,0.0,43.20373817442125,39.55719576915927,39.55719576915927,-59.70587947289526,40.29412052710473,32.48242478297545,7.811695744129281,-0.06393107249415718,-14.972307801777015,-0.7593962584060948,-0.7187810758777984,-0.32915418473644753,-0.19817759628914822,0.7955486652161259,-0.7598727598053892,0.16654345034263307,-0.19411758945790547,-0.3554414744331844,-0.31233336114797783,-0.19411758945790525,up
1/2/2003,14.44999981,13.76249981,13.8125,14.40750027,7890400,11.4354744,wait or hold,-0.14442192450534996,-0.08583936906274107,17.80492001300294,29.63616152112916,0.0,63.880757884104135,50.17085680742825,50.17085680742825,-2.236818342100494,97.76318165789951,55.3152500296686,42.44793162823091,-0.05858255544260889,-11.831241508126222,-0.7544103895083831,-0.7240486082691912,-0.3107200877034223,-0.08124623312248846,0.7440556570636945,-0.6353097274548031,0.8386913690208859,0.9552636331579898,0.10675866398019362,-0.010958147805866236,0.9552636331579902,up
1/3/2003,14.67249966,14.40999985,14.40999985,14.625,6009600,11.60810852,wait or hold,-0.14054890754877114,-0.0880412970848003,18.388240065120648,29.37485520969722,0.0,67.49821100463106,52.52354432293409,52.52354432293409,-2.2379115128824854,97.76208848711752,78.6064635573739,19.155624929743624,-0.052507610463970844,-10.986615144576572,-0.7477130090451486,-0.728753502328426,-0.2897822980082235,-0.05114626666451261,0.7286780667386314,-0.6018149803812829,0.38668279854599885,0.9552417697423501,0.578237861145251,0.05584648250561153,0.9552417697423501,up
1/6/2003,14.92749977,14.625,14.625,14.80000019,8072800,11.74700928,wait or hold,-0.13596034186886996,-0.08996375180676729,19.05883057268074,29.075982746481156,0.0,70.29123971458401,54.38953640373244,54.38953640373244,-5.3627593069858825,94.63724069301412,96.72083694601037,-2.0835962529962444,-0.045996590062102674,-10.017152173800415,-0.7397782722538113,-0.7328612414143163,-0.26734153906228364,-0.0165430471946586,0.7110897495120261,-0.5633696767480603,-0.0254837648211953,0.8927448138602823,0.944923358758472,0.1088313818176978,0.8927448138602825,up
1/7/2003,14.85249996,14.28750038,14.80000019,14.42000008,7259200,11.44539833,wait or hold,-0.1333212680312439,-0.09169785934890518,18.695982421159727,29.659669284648743,0.0,57.72455501029601,49.81138636545138,49.81138636545138,-21.345942361848966,78.65405763815104,90.35112893942755,-11.697071301276509,-0.041623408682338714,-10.963686863489016,-0.7352146770619217,-0.736566536133918,-0.25226901538504287,-0.035266417239062875,0.7454390632083132,-0.6009057298428191,-0.21204206366719858,0.5730811527630206,0.8159826827586079,-0.021165321442780383,0.5730811527630206,up
1/8/2003,14.42249966,13.82499981,14.42249966,13.89249992,9679600,11.02671051,wait or hold,-0.1331914852549243,-0.09335252423855395,18.31930404342368,30.6216406675629,0.0,44.76375778554029,44.24398584221361,44.24398584221361,-43.53312440963712,56.466875590362875,76.58605797384267,-20.119182383479796,-0.039838961016370356,-12.302336624139219,-0.7349902513389434,-0.7401020844948731,-0.24611877203575905,-0.05470344240927216,0.802050025836138,-0.6539916114681221,-0.375480852273509,0.12933751180725728,0.5373392106160293,-0.1792518209458226,0.12933751180725772,up
